序号,动作ID,动作名称,身体部位,测试侧,阶段,建议原图文件名,项目目标路径,画面内容提示,拍摄要求,待导入图片路径,匹配状态,备注
21,elbow_flexion,肘屈伸,肘部,左侧,返回起点,elbow_flexion_left_return_肘屈伸_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/elbow_flexion/left/return.png,缓慢伸肘，回到起点。,从测试侧拍摄，肩、肘、腕完整入镜。,,待提供,
22,elbow_flexion,肘屈伸,肘部,右侧,准备姿势,elbow_flexion_right_start_肘屈伸_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/elbow_flexion/right/start.png,舒适伸肘，不要用力绷直。,从测试侧拍摄，肩、肘、腕完整入镜。,,待提供,
23,elbow_flexion,肘屈伸,肘部,右侧,完成动作,elbow_flexion_right_move_肘屈伸_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/elbow_flexion/right/move.png,上臂保持原位，缓慢屈肘。,从测试侧拍摄，肩、肘、腕完整入镜。,,待提供,
24,elbow_flexion,肘屈伸,肘部,右侧,返回起点,elbow_flexion_right_return_肘屈伸_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/elbow_flexion/right/return.png,缓慢伸肘，回到起点。,从测试侧拍摄，肩、肘、腕完整入镜。,,待提供,
25,knee_extension,坐位膝屈伸,膝部,左侧,准备姿势,knee_extension_left_start_坐位膝屈伸_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/knee_extension/left/start.png,坐稳，膝盖保持舒适弯曲。,从测试侧拍摄，髋、膝、踝完整入镜。,,待提供,
26,knee_extension,坐位膝屈伸,膝部,左侧,完成动作,knee_extension_left_move_坐位膝屈伸_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/knee_extension/left/move.png,保持坐稳，缓慢伸膝。,从测试侧拍摄，髋、膝、踝完整入镜。,,待提供,
27,knee_extension,坐位膝屈伸,膝部,左侧,返回起点,knee_extension_left_return_坐位膝屈伸_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/knee_extension/left/return.png,缓慢屈膝，回到起始坐位。,从测试侧拍摄，髋、膝、踝完整入镜。,,待提供,
28,knee_extension,坐位膝屈伸,膝部,右侧,准备姿势,knee_extension_right_start_坐位膝屈伸_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/knee_extension/right/start.png,坐稳，膝盖保持舒适弯曲。,从测试侧拍摄，髋、膝、踝完整入镜。,,待提供,
29,knee_extension,坐位膝屈伸,膝部,右侧,完成动作,knee_extension_right_move_坐位膝屈伸_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/knee_extension/right/move.png,保持坐稳，缓慢伸膝。,从测试侧拍摄，髋、膝、踝完整入镜。,,待提供,
30,knee_extension,坐位膝屈伸,膝部,右侧,返回起点,knee_extension_right_return_坐位膝屈伸_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/knee_extension/right/return.png,缓慢屈膝，回到起始坐位。,从测试侧拍摄，髋、膝、踝完整入镜。,,待提供,
31,hip_abduction,髋外展,髋部,左侧,准备姿势,hip_abduction_left_start_髋外展_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_abduction/left/start.png,按已确认的支撑安排站稳，测试腿自然下垂。,正对镜头，双髋与测试侧膝入镜。,,待提供,
32,hip_abduction,髋外展,髋部,左侧,完成动作,hip_abduction_left_move_髋外展_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_abduction/left/move.png,向身体侧方缓慢移腿。,正对镜头，双髋与测试侧膝入镜。,,待提供,
33,hip_abduction,髋外展,髋部,左侧,返回起点,hip_abduction_left_return_髋外展_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_abduction/left/return.png,缓慢收回，回到起始位置。,正对镜头，双髋与测试侧膝入镜。,,待提供,
34,hip_abduction,髋外展,髋部,右侧,准备姿势,hip_abduction_right_start_髋外展_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_abduction/right/start.png,按已确认的支撑安排站稳，测试腿自然下垂。,正对镜头，双髋与测试侧膝入镜。,,待提供,
35,hip_abduction,髋外展,髋部,右侧,完成动作,hip_abduction_right_move_髋外展_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_abduction/right/move.png,向身体侧方缓慢移腿。,正对镜头，双髋与测试侧膝入镜。,,待提供,
36,hip_abduction,髋外展,髋部,右侧,返回起点,hip_abduction_right_return_髋外展_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_abduction/right/return.png,缓慢收回，回到起始位置。,正对镜头，双髋与测试侧膝入镜。,,待提供,
37,shoulder_adduction,肩内收回位,肩部,左侧,准备姿势,shoulder_adduction_left_start_肩内收回位_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_adduction/left/start.png,手臂侧抬到舒适位置，不要求达到水平。,正对镜头，髋、肩、肘完整入镜。 先侧抬臂记录起点，再向身体收回；不是横向抱胸。,,待提供,
38,shoulder_adduction,肩内收回位,肩部,左侧,完成动作,shoulder_adduction_left_move_肩内收回位_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_adduction/left/move.png,向身体方向缓慢收回手臂。,正对镜头，髋、肩、肘完整入镜。 先侧抬臂记录起点，再向身体收回；不是横向抱胸。,,待提供,
39,shoulder_adduction,肩内收回位,肩部,左侧,返回起点,shoulder_adduction_left_return_肩内收回位_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_adduction/left/return.png,向侧方抬回刚才记录的起点。,正对镜头，髋、肩、肘完整入镜。 先侧抬臂记录起点，再向身体收回；不是横向抱胸。,,待提供,
40,shoulder_adduction,肩内收回位,肩部,右侧,准备姿势,shoulder_adduction_right_start_肩内收回位_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_adduction/right/start.png,手臂侧抬到舒适位置，不要求达到水平。,正对镜头，髋、肩、肘完整入镜。 先侧抬臂记录起点，再向身体收回；不是横向抱胸。,,待提供,
41,shoulder_adduction,肩内收回位,肩部,右侧,完成动作,shoulder_adduction_right_move_肩内收回位_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_adduction/right/move.png,向身体方向缓慢收回手臂。,正对镜头，髋、肩、肘完整入镜。 先侧抬臂记录起点，再向身体收回；不是横向抱胸。,,待提供,
42,shoulder_adduction,肩内收回位,肩部,右侧,返回起点,shoulder_adduction_right_return_肩内收回位_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_adduction/right/return.png,向侧方抬回刚才记录的起点。,正对镜头，髋、肩、肘完整入镜。 先侧抬臂记录起点，再向身体收回；不是横向抱胸。,,待提供,
43,elbow_extension,肘伸展,肘部,左侧,准备姿势,elbow_extension_left_start_肘伸展_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/elbow_extension/left/start.png,保持舒适屈肘姿势。,从测试侧拍摄，肩、肘、腕完整入镜。,,待提供,
44,elbow_extension,肘伸展,肘部,左侧,完成动作,elbow_extension_left_move_肘伸展_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/elbow_extension/left/move.png,上臂保持原位，缓慢伸肘。,从测试侧拍摄，肩、肘、腕完整入镜。,,待提供,
45,elbow_extension,肘伸展,肘部,左侧,返回起点,elbow_extension_left_return_肘伸展_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/elbow_extension/left/return.png,缓慢屈肘，回到起点。,从测试侧拍摄，肩、肘、腕完整入镜。,,待提供,
46,elbow_extension,肘伸展,肘部,右侧,准备姿势,elbow_extension_right_start_肘伸展_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/elbow_extension/right/start.png,保持舒适屈肘姿势。,从测试侧拍摄，肩、肘、腕完整入镜。,,待提供,
47,elbow_extension,肘伸展,肘部,右侧,完成动作,elbow_extension_right_move_肘伸展_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/elbow_extension/right/move.png,上臂保持原位，缓慢伸肘。,从测试侧拍摄，肩、肘、腕完整入镜。,,待提供,
48,elbow_extension,肘伸展,肘部,右侧,返回起点,elbow_extension_right_return_肘伸展_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/elbow_extension/right/return.png,缓慢屈肘，回到起点。,从测试侧拍摄，肩、肘、腕完整入镜。,,待提供,
49,knee_flexion,膝屈曲,膝部,左侧,准备姿势,knee_flexion_left_start_膝屈曲_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/knee_flexion/left/start.png,在已确认的稳定坐位或支撑姿势中，记录舒适起点。,从测试侧拍摄，髋、膝、踝完整入镜。,,待提供,
50,knee_flexion,膝屈曲,膝部,左侧,完成动作,knee_flexion_left_move_膝屈曲_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/knee_flexion/left/move.png,保持身体稳定，缓慢屈膝。,从测试侧拍摄，髋、膝、踝完整入镜。,,待提供,
51,knee_flexion,膝屈曲,膝部,左侧,返回起点,knee_flexion_left_return_膝屈曲_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/knee_flexion/left/return.png,缓慢伸膝，回到起点。,从测试侧拍摄，髋、膝、踝完整入镜。,,待提供,
52,knee_flexion,膝屈曲,膝部,右侧,准备姿势,knee_flexion_right_start_膝屈曲_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/knee_flexion/right/start.png,在已确认的稳定坐位或支撑姿势中，记录舒适起点。,从测试侧拍摄，髋、膝、踝完整入镜。,,待提供,
53,knee_flexion,膝屈曲,膝部,右侧,完成动作,knee_flexion_right_move_膝屈曲_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/knee_flexion/right/move.png,保持身体稳定，缓慢屈膝。,从测试侧拍摄，髋、膝、踝完整入镜。,,待提供,
54,knee_flexion,膝屈曲,膝部,右侧,返回起点,knee_flexion_right_return_膝屈曲_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/knee_flexion/right/return.png,缓慢伸膝，回到起点。,从测试侧拍摄，髋、膝、踝完整入镜。,,待提供,
55,shoulder_extension,肩后伸,肩部,左侧,准备姿势,shoulder_extension_left_start_肩后伸_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_extension/left/start.png,手臂停在舒适的起始位置。,测试侧朝向镜头，髋、肩、肘完整入镜。,,待提供,
56,shoulder_extension,肩后伸,肩部,左侧,完成动作,shoulder_extension_left_move_肩后伸_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_extension/left/move.png,向身体后方缓慢移臂。,测试侧朝向镜头，髋、肩、肘完整入镜。,,待提供,
57,shoulder_extension,肩后伸,肩部,左侧,返回起点,shoulder_extension_left_return_肩后伸_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_extension/left/return.png,缓慢回到起始位置。,测试侧朝向镜头，髋、肩、肘完整入镜。,,待提供,
58,shoulder_extension,肩后伸,肩部,右侧,准备姿势,shoulder_extension_right_start_肩后伸_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_extension/right/start.png,手臂停在舒适的起始位置。,测试侧朝向镜头，髋、肩、肘完整入镜。,,待提供,
59,shoulder_extension,肩后伸,肩部,右侧,完成动作,shoulder_extension_right_move_肩后伸_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_extension/right/move.png,向身体后方缓慢移臂。,测试侧朝向镜头，髋、肩、肘完整入镜。,,待提供,
60,shoulder_extension,肩后伸,肩部,右侧,返回起点,shoulder_extension_right_return_肩后伸_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_extension/right/return.png,缓慢回到起始位置。,测试侧朝向镜头，髋、肩、肘完整入镜。,,待提供,
61,hip_flexion,髋屈曲,髋部,左侧,准备姿势,hip_flexion_left_start_髋屈曲_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_flexion/left/start.png,按已确认的支撑安排保持稳定起始姿势。,测试侧朝向镜头，肩、髋、膝入镜。,,待提供,
62,hip_flexion,髋屈曲,髋部,左侧,完成动作,hip_flexion_left_move_髋屈曲_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_flexion/left/move.png,向身体前方缓慢移腿。,测试侧朝向镜头，肩、髋、膝入镜。,,待提供,
63,hip_flexion,髋屈曲,髋部,左侧,返回起点,hip_flexion_left_return_髋屈曲_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_flexion/left/return.png,缓慢回到起始位置。,测试侧朝向镜头，肩、髋、膝入镜。,,待提供,
64,hip_flexion,髋屈曲,髋部,右侧,准备姿势,hip_flexion_right_start_髋屈曲_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_flexion/right/start.png,按已确认的支撑安排保持稳定起始姿势。,测试侧朝向镜头，肩、髋、膝入镜。,,待提供,
65,hip_flexion,髋屈曲,髋部,右侧,完成动作,hip_flexion_right_move_髋屈曲_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_flexion/right/move.png,向身体前方缓慢移腿。,测试侧朝向镜头，肩、髋、膝入镜。,,待提供,
66,hip_flexion,髋屈曲,髋部,右侧,返回起点,hip_flexion_right_return_髋屈曲_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_flexion/right/return.png,缓慢回到起始位置。,测试侧朝向镜头，肩、髋、膝入镜。,,待提供,
67,hip_extension,髋后伸,髋部,左侧,准备姿势,hip_extension_left_start_髋后伸_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_extension/left/start.png,按已确认的支撑安排保持稳定起始姿势。,测试侧朝向镜头，肩、髋、膝入镜。,,待提供,
68,hip_extension,髋后伸,髋部,左侧,完成动作,hip_extension_left_move_髋后伸_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_extension/left/move.png,向身体后方缓慢移腿。,测试侧朝向镜头，肩、髋、膝入镜。,,待提供,
69,hip_extension,髋后伸,髋部,左侧,返回起点,hip_extension_left_return_髋后伸_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_extension/left/return.png,缓慢回到起始位置。,测试侧朝向镜头，肩、髋、膝入镜。,,待提供,
70,hip_extension,髋后伸,髋部,右侧,准备姿势,hip_extension_right_start_髋后伸_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_extension/right/start.png,按已确认的支撑安排保持稳定起始姿势。,测试侧朝向镜头，肩、髋、膝入镜。,,待提供,
71,hip_extension,髋后伸,髋部,右侧,完成动作,hip_extension_right_move_髋后伸_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_extension/right/move.png,向身体后方缓慢移腿。,测试侧朝向镜头，肩、髋、膝入镜。,,待提供,
72,hip_extension,髋后伸,髋部,右侧,返回起点,hip_extension_right_return_髋后伸_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_extension/right/return.png,缓慢回到起始位置。,测试侧朝向镜头，肩、髋、膝入镜。,,待提供,
73,hip_adduction,髋内收,髋部,左侧,准备姿势,hip_adduction_left_start_髋内收_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_adduction/left/start.png,按已确认的支撑安排站稳，测试腿停在舒适外展位置。,正对镜头，双髋与测试侧膝入镜。,,待提供,
74,hip_adduction,髋内收,髋部,左侧,完成动作,hip_adduction_left_move_髋内收_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_adduction/left/move.png,向身体中线方向缓慢收腿。,正对镜头，双髋与测试侧膝入镜。,,待提供,
75,hip_adduction,髋内收,髋部,左侧,返回起点,hip_adduction_left_return_髋内收_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_adduction/left/return.png,缓慢移回刚才记录的外展起点。,正对镜头，双髋与测试侧膝入镜。,,待提供,
76,hip_adduction,髋内收,髋部,右侧,准备姿势,hip_adduction_right_start_髋内收_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_adduction/right/start.png,按已确认的支撑安排站稳，测试腿停在舒适外展位置。,正对镜头，双髋与测试侧膝入镜。,,待提供,
77,hip_adduction,髋内收,髋部,右侧,完成动作,hip_adduction_right_move_髋内收_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_adduction/right/move.png,向身体中线方向缓慢收腿。,正对镜头，双髋与测试侧膝入镜。,,待提供,
78,hip_adduction,髋内收,髋部,右侧,返回起点,hip_adduction_right_return_髋内收_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/hip_adduction/right/return.png,缓慢移回刚才记录的外展起点。,正对镜头，双髋与测试侧膝入镜。,,待提供,
79,wrist_flexion,腕屈曲,腕部,左侧,准备姿势,wrist_flexion_left_start_腕屈曲_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_flexion/left/start.png,前臂保持稳定，手腕处于舒适起点。,肘、腕和整只测试手入镜，另一只手移出画面。 从手的侧缘拍摄。,,待提供,
80,wrist_flexion,腕屈曲,腕部,左侧,完成动作,wrist_flexion_left_move_腕屈曲_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_flexion/left/move.png,向掌侧缓慢弯腕，手指姿势尽量不变。,肘、腕和整只测试手入镜，另一只手移出画面。 从手的侧缘拍摄。,,待提供,
81,wrist_flexion,腕屈曲,腕部,左侧,返回起点,wrist_flexion_left_return_腕屈曲_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_flexion/left/return.png,缓慢回到起点，避免整条手臂一起移动。,肘、腕和整只测试手入镜，另一只手移出画面。 从手的侧缘拍摄。,,待提供,
82,wrist_flexion,腕屈曲,腕部,右侧,准备姿势,wrist_flexion_right_start_腕屈曲_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_flexion/right/start.png,前臂保持稳定，手腕处于舒适起点。,肘、腕和整只测试手入镜，另一只手移出画面。 从手的侧缘拍摄。,,待提供,
83,wrist_flexion,腕屈曲,腕部,右侧,完成动作,wrist_flexion_right_move_腕屈曲_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_flexion/right/move.png,向掌侧缓慢弯腕，手指姿势尽量不变。,肘、腕和整只测试手入镜，另一只手移出画面。 从手的侧缘拍摄。,,待提供,
84,wrist_flexion,腕屈曲,腕部,右侧,返回起点,wrist_flexion_right_return_腕屈曲_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_flexion/right/return.png,缓慢回到起点，避免整条手臂一起移动。,肘、腕和整只测试手入镜，另一只手移出画面。 从手的侧缘拍摄。,,待提供,
85,wrist_extension,腕伸展,腕部,左侧,准备姿势,wrist_extension_left_start_腕伸展_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_extension/left/start.png,前臂保持稳定，手腕处于舒适起点。,肘、腕和整只测试手入镜，另一只手移出画面。 从手的侧缘拍摄。,,待提供,
86,wrist_extension,腕伸展,腕部,左侧,完成动作,wrist_extension_left_move_腕伸展_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_extension/left/move.png,向手背侧缓慢弯腕，手指姿势尽量不变。,肘、腕和整只测试手入镜，另一只手移出画面。 从手的侧缘拍摄。,,待提供,
87,wrist_extension,腕伸展,腕部,左侧,返回起点,wrist_extension_left_return_腕伸展_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_extension/left/return.png,缓慢回到起点，避免整条手臂一起移动。,肘、腕和整只测试手入镜，另一只手移出画面。 从手的侧缘拍摄。,,待提供,
88,wrist_extension,腕伸展,腕部,右侧,准备姿势,wrist_extension_right_start_腕伸展_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_extension/right/start.png,前臂保持稳定，手腕处于舒适起点。,肘、腕和整只测试手入镜，另一只手移出画面。 从手的侧缘拍摄。,,待提供,
89,wrist_extension,腕伸展,腕部,右侧,完成动作,wrist_extension_right_move_腕伸展_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_extension/right/move.png,向手背侧缓慢弯腕，手指姿势尽量不变。,肘、腕和整只测试手入镜，另一只手移出画面。 从手的侧缘拍摄。,,待提供,
90,wrist_extension,腕伸展,腕部,右侧,返回起点,wrist_extension_right_return_腕伸展_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_extension/right/return.png,缓慢回到起点，避免整条手臂一起移动。,肘、腕和整只测试手入镜，另一只手移出画面。 从手的侧缘拍摄。,,待提供,
91,wrist_radial_deviation,腕桡偏,腕部,左侧,准备姿势,wrist_radial_deviation_left_start_腕桡偏_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/wrist_radial_deviation/left/start.png,前臂保持稳定，手腕处于舒适起点。,肘、腕和整只测试手入镜，另一只手移出画面。 手掌或手背正对镜头。,,待提供,
